file,class,method,variable,usage
/tmp/tempRepo17941808559582989529/org.jacoco.core/src/org/jacoco/core/analysis/Analyzer.java,org.jacoco.core.analysis.Analyzer,"createAnalyzingVisitor/2[long,java.lang.String]",stringPool,1
/tmp/tempRepo17941808559582989529/org.jacoco.core/src/org/jacoco/core/analysis/Analyzer.java,org.jacoco.core.analysis.Analyzer,"createAnalyzingVisitor/2[long,java.lang.String]",executionData,2
/tmp/tempRepo17941808559582989529/org.jacoco.core/src/org/jacoco/core/analysis/Analyzer.java,org.jacoco.core.analysis.Analyzer,"Analyzer/2[org.jacoco.core.data.ExecutionDataStore,org.jacoco.core.analysis.ICoverageVisitor]",coverageVisitor,4
/tmp/tempRepo17941808559582989529/org.jacoco.core/src/org/jacoco/core/analysis/Analyzer.java,org.jacoco.core.analysis.Analyzer,"Analyzer/2[org.jacoco.core.data.ExecutionDataStore,org.jacoco.core.analysis.ICoverageVisitor]",stringPool,1
/tmp/tempRepo17941808559582989529/org.jacoco.core/src/org/jacoco/core/analysis/Analyzer.java,org.jacoco.core.analysis.Analyzer,"Analyzer/2[org.jacoco.core.data.ExecutionDataStore,org.jacoco.core.analysis.ICoverageVisitor]",executionData,4
/tmp/tempRepo17941808559582989529/org.jacoco.cli/src/org/jacoco/cli/internal/Command.java,org.jacoco.cli.internal.Command,usage/1[org.jacoco.cli.internal.CommandParser],JAVACMD,1
/tmp/tempRepo17941808559582989529/org.jacoco.report/src/org/jacoco/report/internal/html/page/NodePage.java,org.jacoco.report.internal.html.page.NodePage,"NodePage/4[NodeType,org.jacoco.report.internal.html.page.ReportPage,org.jacoco.report.internal.ReportOutputFolder,org.jacoco.report.internal.html.IHTMLReportContext]",node,4
/tmp/tempRepo17941808559582989529/org.jacoco.report/src/org/jacoco/report/internal/html/page/NodePage.java,org.jacoco.report.internal.html.page.NodePage,getLinkLabel/0,node,1
/tmp/tempRepo17941808559582989529/org.jacoco.report/src/org/jacoco/report/internal/html/page/NodePage.java,org.jacoco.report.internal.html.page.NodePage,getLinkStyle/0,node,1
/tmp/tempRepo17941808559582989529/org.jacoco.report/src/org/jacoco/report/internal/html/page/NodePage.java,org.jacoco.report.internal.html.page.NodePage,getNode/0,node,1
/tmp/tempRepo17941808559582989529/org.jacoco.core.test/src/org/jacoco/core/internal/instr/ProbeInserterTest.java,org.jacoco.core.internal.instr.ProbeInserterTest,probevar_should_be_at_position_1_for_static_method_without_parameters/0,actualVisitor,1
/tmp/tempRepo17941808559582989529/org.jacoco.core.test/src/org/jacoco/core/internal/instr/ProbeInserterTest.java,org.jacoco.core.internal.instr.ProbeInserterTest,probevar_should_be_at_position_1_for_static_method_without_parameters/0,arrayStrategy,1
/tmp/tempRepo17941808559582989529/org.jacoco.core.test/src/org/jacoco/core/internal/instr/ProbeInserterTest.java,org.jacoco.core.internal.instr.ProbeInserterTest,probevar_should_be_at_position_1_for_static_method_without_parameters/0,expectedVisitor,4
/tmp/tempRepo17941808559582989529/org.jacoco.core.test/src/org/jacoco/core/internal/instr/ProbeInserterTest.java,org.jacoco.core.internal.instr.ProbeInserterTest,probevar_should_be_at_position_2_for_instance_method_without_parameters/0,actualVisitor,1
/tmp/tempRepo17941808559582989529/org.jacoco.core.test/src/org/jacoco/core/internal/instr/ProbeInserterTest.java,org.jacoco.core.internal.instr.ProbeInserterTest,probevar_should_be_at_position_2_for_instance_method_without_parameters/0,arrayStrategy,1
/tmp/tempRepo17941808559582989529/org.jacoco.core.test/src/org/jacoco/core/internal/instr/ProbeInserterTest.java,org.jacoco.core.internal.instr.ProbeInserterTest,probevar_should_be_at_position_2_for_instance_method_without_parameters/0,expectedVisitor,4
/tmp/tempRepo17941808559582989529/org.jacoco.core.test/src/org/jacoco/core/internal/instr/ProbeInserterTest.java,org.jacoco.core.internal.instr.ProbeInserterTest,visitCode_should_call_IProbeArrayStrategy_for_static_initializers/0,actualVisitor,1
/tmp/tempRepo17941808559582989529/org.jacoco.core.test/src/org/jacoco/core/internal/instr/ProbeInserterTest.java,org.jacoco.core.internal.instr.ProbeInserterTest,visitCode_should_call_IProbeArrayStrategy_for_static_initializers/0,arrayStrategy,1
