file,class,method,variable,usage
/tmp/tempRepo17941808559582989529/org.jacoco.agent.rt.test/src/org/jacoco/agent/rt/internal/ConfigLoaderTest.java,org.jacoco.agent.rt.internal.ConfigLoaderTest,testNoResource/0,system,1
/tmp/tempRepo17941808559582989529/org.jacoco.agent.rt.test/src/org/jacoco/agent/rt/internal/ConfigLoaderTest.java,org.jacoco.agent.rt.internal.ConfigLoaderTest,testNoResource/0,config,1
/tmp/tempRepo17941808559582989529/org.jacoco.agent.rt.test/src/org/jacoco/agent/rt/internal/ConfigLoaderTest.java,org.jacoco.agent.rt.internal.ConfigLoaderTest,testSystemProperties/0,system,4
/tmp/tempRepo17941808559582989529/org.jacoco.agent.rt.test/src/org/jacoco/agent/rt/internal/ConfigLoaderTest.java,org.jacoco.agent.rt.internal.ConfigLoaderTest,testSystemProperties/0,config,3
/tmp/tempRepo17941808559582989529/org.jacoco.agent.rt.test/src/org/jacoco/agent/rt/internal/ConfigLoaderTest.java,org.jacoco.agent.rt.internal.ConfigLoaderTest,testResource/0,system,1
/tmp/tempRepo17941808559582989529/org.jacoco.agent.rt.test/src/org/jacoco/agent/rt/internal/ConfigLoaderTest.java,org.jacoco.agent.rt.internal.ConfigLoaderTest,testResource/0,config,1
/tmp/tempRepo17941808559582989529/org.jacoco.agent.rt.test/src/org/jacoco/agent/rt/internal/ConfigLoaderTest.java,org.jacoco.agent.rt.internal.ConfigLoaderTest,testSubstituteProperties/0,system,3
/tmp/tempRepo17941808559582989529/org.jacoco.agent.rt.test/src/org/jacoco/agent/rt/internal/ConfigLoaderTest.java,org.jacoco.agent.rt.internal.ConfigLoaderTest,testSubstituteProperties/0,config,5
/tmp/tempRepo17941808559582989529/org.jacoco.core/src/org/jacoco/core/analysis/Analyzer.java,org.jacoco.core.analysis.Analyzer,"createAnalyzingVisitor/2[long,java.lang.String]",coverage,1
/tmp/tempRepo17941808559582989529/org.jacoco.core/src/org/jacoco/core/analysis/Analyzer.java,org.jacoco.core.analysis.Analyzer,"createAnalyzingVisitor/2[long,java.lang.String]",classid,2
