number,state,createdAt,mergedAt,closedAt,title,bodyText,changedFiles,additions,deletions,comments,participants,reviews,repository,duration_hours
9469,MERGED,2016-06-30T16:04:23Z,2016-09-28T19:14:34Z,2016-09-28T19:14:34Z,Overhauled Certificates,"Pre-Submission Checklist

 Your pull request targets the staging branch of FreeCodeCamp.
 Branch starts with either fix/, feature/, or translate/
 You have only one commit.
 All new and existing tests pass the command npm run test-challenges.

Type of Change

 Breaking change (fix or feature that would change existing functionality)

Checklist:

 Tested changes locally.
 Closes currently open issue: Closes #9449",8,352,84,{'totalCount': 31},{'totalCount': 11},{'totalCount': 1},"{'owner': 'freeCodeCamp', 'name': 'freeCodeCamp'}",2163.1697222222224
9660,CLOSED,2016-07-10T13:37:54Z,,2017-09-02T02:09:24Z,feat(auth): Implement Passwordless Authentication,"Feature Checklist:

 Create API for creating/saving a temporary token
 Add email template and sending logic
 Add validations and timeouts
 Update the sign in view
 Prevent users without verified email from login
 Create API for creating/saving an access token Using loopbacks defaults
 Add routes for requesting access token
 Invalidate used/expired tokens
 Remove password reset logic
 Handle all errors gracefully
 Remove all passwords from database (#14559 issue created for DevOps)
 Add debounce/disable to magic link button
 Add some loading indicator to magic link button ajax request
 (berks): Investigate memory consumption issue

Closes #8165
Closes #9027
Closes #15254",17,528,329,{'totalCount': 42},{'totalCount': 7},{'totalCount': 13},"{'owner': 'freeCodeCamp', 'name': 'freeCodeCamp'}",10044.525
9793,MERGED,2016-07-19T22:59:37Z,2016-07-26T11:43:49Z,2016-07-26T11:43:49Z,French Translation for HTML and CSS,"Pre-Submission Checklist




 Your pull request targets the staging branch of FreeCodeCamp.
 Branch starts with either fix/, feature/, or translate/ (e.g. fix/signin-issue)
 You have only one commit (if not, squash them into one commit).
 All new and existing tests pass the command npm run test-challenges. Use git commit --amend to amend any fixes.

Type of Change


 Small bug fix (non-breaking change which fixes an issue)
 New feature (non-breaking change which adds new functionality)
 Breaking change (fix or feature that would change existing functionality)
 Add new translation (feature adding new translations)

Checklist:



 Tested changes locally.
 Closes currently open issue (replace XXXX with an issue no): Closes #XXXX

Description
Related to issue no #7288, but doesn't closes it yet.
Further translation of the following challenges :

Use a CSS Class to Style an Element
Style Multiple Elements with a CSS Class
Change the Font Size of an Element
Set the Font Family of an Element
Import a Google Font
Specify How Fonts Should Degrade
Add Images to your Website
Size your Images
Add Borders Around your Elements",1,80,0,{'totalCount': 8},{'totalCount': 5},{'totalCount': 1},"{'owner': 'freeCodeCamp', 'name': 'freeCodeCamp'}",156.73666666666668
10341,MERGED,2016-08-25T12:54:35Z,2016-10-11T19:35:36Z,2016-10-11T19:35:36Z,updated to use alternate to openweathermap api,"Pre-Submission Checklist




 Your pull request targets the staging branch of FreeCodeCamp.
 Branch starts with either fix/, feature/, or translate/ (e.g. fix/signin-issue)
 You have only one commit (if not, squash them into one commit).
 All new and existing tests pass the command npm run test-challenges. Use git commit --amend to amend any fixes.

Type of Change


 Small bug fix (non-breaking change which fixes an issue)
 New feature (non-breaking change which adds new functionality)
 Breaking change (fix or feature that would change existing functionality)
 Add new translation (feature adding new translations)

It's really just a documentation change.
Checklist:



 Tested changes locally.
 Closes currently open issue: I believe Closes #9145

Description

The Open Weather Map API was not serving over HTTPS, leading to mixed content issues, since geolocation requires HTTPS. Forecast.io's API is also free, requires sign up, but up to 1k hits per day w/ no charge or card on file.
I'm (unsurprisingly) not the first person to notice this. Seems to intersect w/ #7853 and #9145, the latter I believe it closes, at least accounts for it from the documentation side of things (as the currently recommended open weather map API leads to a funny experience, at least for Chrome users).",1,1,1,{'totalCount': 17},{'totalCount': 7},{'totalCount': 1},"{'owner': 'freeCodeCamp', 'name': 'freeCodeCamp'}",1134.683611111111
10390,CLOSED,2016-08-30T03:38:10Z,,2016-09-28T18:31:56Z,Getting Started - Learn how Free Code Camp Works translated into Braz…,"Pre-Submission Checklist




 Your pull request targets the staging branch of FreeCodeCamp.
 Branch starts with either fix/, feature/, or translate/ (e.g. fix/signin-issue)
 You have only one commit (if not, squash them into one commit).
 All new and existing tests pass the command npm run test-challenges. Use git commit --amend to amend any fixes.

Type of Change


 Small bug fix (non-breaking change which fixes an issue)
 New feature (non-breaking change which adds new functionality)
 Breaking change (fix or feature that would change existing functionality)
 Add new translation (feature adding new translations)

Checklist:



 Tested changes locally.
 Closes currently open issue (replace XXXX with an issue no): Closes #XXXX

Description

I did the translation of the session - Getting Started [Learn How Free Code Camp Works] - into Brazilian Portuguese.",1,77,0,{'totalCount': 5},{'totalCount': 5},{'totalCount': 1},"{'owner': 'freeCodeCamp', 'name': 'freeCodeCamp'}",710.8961111111112
10503,MERGED,2016-09-07T12:31:43Z,2016-09-26T20:01:03Z,2016-09-26T20:01:03Z,fix Big-o-notation from exponential time to polynomial time in videos/big-o-notation-a-few-examples,"Pre-Submission Checklist




 Your pull request targets the staging branch of FreeCodeCamp.
 Branch starts with either fix/, feature/, or translate/ (e.g. fix/signin-issue)
 You have only one commit (if not, squash them into one commit).
 All new and existing tests pass the command npm run test-challenges. Use git commit --amend to amend any fixes.

Type of Change


 Small bug fix (non-breaking change which fixes an issue)
 New feature (non-breaking change which adds new functionality)
 Breaking change (fix or feature that would change existing functionality)
 Add new translation (feature adding new translations)

Checklist:



 Tested changes locally.
 Closes currently open issue (replace 9655 with an issue no): Closes #9655

Description

Editied the question concerning big-o-notation from exponential time(previous incorrect reference) to polynomial time.",1,1,1,{'totalCount': 3},{'totalCount': 4},{'totalCount': 1},"{'owner': 'freeCodeCamp', 'name': 'freeCodeCamp'}",463.4888888888889
10711,MERGED,2016-09-12T20:32:19Z,2016-09-28T20:54:27Z,2016-09-28T20:54:27Z,Feat(challenges): Adds the ability to test with async methods,,1,48,11,{'totalCount': 5},{'totalCount': 4},{'totalCount': 4},"{'owner': 'freeCodeCamp', 'name': 'freeCodeCamp'}",384.3688888888889
10751,MERGED,2016-09-15T21:54:30Z,2016-10-01T04:11:29Z,2016-10-01T04:11:29Z,Add more explanation for what escaping is,"[✓] Your pull request targets the staging branch of FreeCodeCamp.
[✓] Branch starts with either fix/, feature/, or translate/ (e.g. fix/signin-issue)
[✓] You have only one commit (if not, squash them into one commit).
[✓] All new and existing tests pass the command npm run test-challenges. Use git commit --amend to amend any fixes.
[✓] Small bug fix (non-breaking change which fixes an issue)
 New feature (non-breaking change which adds new functionality)
 Breaking change (fix or feature that would change existing functionality)
 Add new translation (feature adding new translations)
[✓ ] Tested changes locally.
[✓] Closes currently open issue: Closes #10337

Description
A further explanation about escaping.",3,8,4,{'totalCount': 3},{'totalCount': 6},{'totalCount': 2},"{'owner': 'freeCodeCamp', 'name': 'freeCodeCamp'}",366.28305555555556
10762,CLOSED,2016-09-16T11:45:09Z,,2016-09-16T18:57:10Z,Update Test,"Test states must be equal to 16, not greater than 15. This is causing
people to pass without following instructions!
Issue-Fix #10592
(#10592)",1,1,1,{'totalCount': 3},{'totalCount': 5},{'totalCount': 1},"{'owner': 'freeCodeCamp', 'name': 'freeCodeCamp'}",7.200277777777778
10775,MERGED,2016-09-17T03:06:51Z,2016-09-17T10:48:20Z,2016-09-17T10:48:20Z,fixes syntax typo,"Pre-Submission Checklist




 Your pull request targets the staging branch of FreeCodeCamp.
 Branch starts with either fix/, feature/, or translate/ (e.g. fix/signin-issue)
 You have only one commit (if not, squash them into one commit).
 All new and existing tests pass the command npm run test-challenges. Use git commit --amend to amend any fixes.

Type of Change


 Small bug fix (non-breaking change which fixes an issue)
 New feature (non-breaking change which adds new functionality)
 Breaking change (fix or feature that would change existing functionality)
 Add new translation (feature adding new translations)

Checklist:



 Tested changes locally.
 Closes currently open issue (replace XXXX with an issue no): Closes #10768

Description",1,1,1,{'totalCount': 1},{'totalCount': 3},{'totalCount': 1},"{'owner': 'freeCodeCamp', 'name': 'freeCodeCamp'}",7.691388888888889
