name,owner,url,pullRequests
freeCodeCamp,{'login': 'freeCodeCamp'},https://github.com/freeCodeCamp/freeCodeCamp,{'totalCount': 39556}
build-your-own-x,{'login': 'codecrafters-io'},https://github.com/codecrafters-io/build-your-own-x,{'totalCount': 279}
awesome,{'login': 'sindresorhus'},https://github.com/sindresorhus/awesome,{'totalCount': 2072}
free-programming-books,{'login': 'EbookFoundation'},https://github.com/EbookFoundation/free-programming-books,{'totalCount': 10409}
public-apis,{'login': 'public-apis'},https://github.com/public-apis/public-apis,{'totalCount': 2961}
coding-interview-university,{'login': 'jwasham'},https://github.com/jwasham/coding-interview-university,{'totalCount': 1005}
developer-roadmap,{'login': 'kamranahmedse'},https://github.com/kamranahmedse/developer-roadmap,{'totalCount': 5004}
system-design-primer,{'login': 'donnemartin'},https://github.com/donnemartin/system-design-primer,{'totalCount': 329}
996.ICU,{'login': '996icu'},https://github.com/996icu/996.ICU,{'totalCount': 1983}
awesome-python,{'login': 'vinta'},https://github.com/vinta/awesome-python,{'totalCount': 1547}
react,{'login': 'facebook'},https://github.com/facebook/react,{'totalCount': 16945}
awesome-selfhosted,{'login': 'awesome-selfhosted'},https://github.com/awesome-selfhosted/awesome-selfhosted,{'totalCount': 3036}
project-based-learning,{'login': 'practical-tutorials'},https://github.com/practical-tutorials/project-based-learning,{'totalCount': 355}
vue,{'login': 'vuejs'},https://github.com/vuejs/vue,{'totalCount': 2321}
Python,{'login': 'TheAlgorithms'},https://github.com/TheAlgorithms/Python,{'totalCount': 10196}
linux,{'login': 'torvalds'},https://github.com/torvalds/linux,{'totalCount': 636}
javascript-algorithms,{'login': 'trekhleb'},https://github.com/trekhleb/javascript-algorithms,{'totalCount': 545}
tensorflow,{'login': 'tensorflow'},https://github.com/tensorflow/tensorflow,{'totalCount': 41075}
You-Dont-Know-JS,{'login': 'getify'},https://github.com/getify/You-Dont-Know-JS,{'totalCount': 847}
CS-Notes,{'login': 'CyC2018'},https://github.com/CyC2018/CS-Notes,{'totalCount': 554}
computer-science,{'login': 'ossu'},https://github.com/ossu/computer-science,{'totalCount': 466}
ohmyzsh,{'login': 'ohmyzsh'},https://github.com/ohmyzsh/ohmyzsh,{'totalCount': 7220}
AutoGPT,{'login': 'Significant-Gravitas'},https://github.com/Significant-Gravitas/AutoGPT,{'totalCount': 5286}
bootstrap,{'login': 'twbs'},https://github.com/twbs/bootstrap,{'totalCount': 15360}
vscode,{'login': 'microsoft'},https://github.com/microsoft/vscode,{'totalCount': 37923}
flutter,{'login': 'flutter'},https://github.com/flutter/flutter,{'totalCount': 60010}
gitignore,{'login': 'github'},https://github.com/github/gitignore,{'totalCount': 4018}
Python-100-Days,{'login': 'jackfrued'},https://github.com/jackfrued/Python-100-Days,{'totalCount': 200}
the-book-of-secret-knowledge,{'login': 'trimstray'},https://github.com/trimstray/the-book-of-secret-knowledge,{'totalCount': 217}
the-art-of-command-line,{'login': 'jlevy'},https://github.com/jlevy/the-art-of-command-line,{'totalCount': 466}
stable-diffusion-webui,{'login': 'AUTOMATIC1111'},https://github.com/AUTOMATIC1111/stable-diffusion-webui,{'totalCount': 3178}
JavaGuide,{'login': 'Snailclimb'},https://github.com/Snailclimb/JavaGuide,{'totalCount': 1462}
javascript,{'login': 'airbnb'},https://github.com/airbnb/javascript,{'totalCount': 1567}
transformers,{'login': 'huggingface'},https://github.com/huggingface/transformers,{'totalCount': 19090}
awesome-go,{'login': 'avelino'},https://github.com/avelino/awesome-go,{'totalCount': 4702}
ollama,{'login': 'ollama'},https://github.com/ollama/ollama,{'totalCount': 3009}
youtube-dl,{'login': 'ytdl-org'},https://github.com/ytdl-org/youtube-dl,{'totalCount': 4468}
next.js,{'login': 'vercel'},https://github.com/vercel/next.js,{'totalCount': 27458}
fucking-algorithm,{'login': 'labuladong'},https://github.com/labuladong/fucking-algorithm,{'totalCount': 464}
go,{'login': 'golang'},https://github.com/golang/go,{'totalCount': 4114}
tech-interview-handbook,{'login': 'yangshun'},https://github.com/yangshun/tech-interview-handbook,{'totalCount': 541}
30-seconds-of-code,{'login': 'Chalarangelo'},https://github.com/Chalarangelo/30-seconds-of-code,{'totalCount': 1620}
awesome-chatgpt-prompts,{'login': 'f'},https://github.com/f/awesome-chatgpt-prompts,{'totalCount': 410}
react-native,{'login': 'facebook'},https://github.com/facebook/react-native,{'totalCount': 21414}
scrcpy,{'login': 'Genymobile'},https://github.com/Genymobile/scrcpy,{'totalCount': 481}
PowerToys,{'login': 'microsoft'},https://github.com/microsoft/PowerToys,{'totalCount': 5862}
electron,{'login': 'electron'},https://github.com/electron/electron,{'totalCount': 24861}
free-programming-books-zh_CN,{'login': 'justjavac'},https://github.com/justjavac/free-programming-books-zh_CN,{'totalCount': 438}
hello-algo,{'login': 'krahets'},https://github.com/krahets/hello-algo,{'totalCount': 1142}
node,{'login': 'nodejs'},https://github.com/nodejs/node,{'totalCount': 35967}
