name,owner,url,pullRequests
freeCodeCamp,{'login': 'freeCodeCamp'},https://github.com/freeCodeCamp/freeCodeCamp,{'totalCount': 39556}
build-your-own-x,{'login': 'codecrafters-io'},https://github.com/codecrafters-io/build-your-own-x,{'totalCount': 279}
awesome,{'login': 'sindresorhus'},https://github.com/sindresorhus/awesome,{'totalCount': 2072}
free-programming-books,{'login': 'EbookFoundation'},https://github.com/EbookFoundation/free-programming-books,{'totalCount': 10409}
public-apis,{'login': 'public-apis'},https://github.com/public-apis/public-apis,{'totalCount': 2961}
coding-interview-university,{'login': 'jwasham'},https://github.com/jwasham/coding-interview-university,{'totalCount': 1005}
developer-roadmap,{'login': 'kamranahmedse'},https://github.com/kamranahmedse/developer-roadmap,{'totalCount': 5004}
system-design-primer,{'login': 'donnemartin'},https://github.com/donnemartin/system-design-primer,{'totalCount': 329}
996.ICU,{'login': '996icu'},https://github.com/996icu/996.ICU,{'totalCount': 1983}
awesome-python,{'login': 'vinta'},https://github.com/vinta/awesome-python,{'totalCount': 1547}
react,{'login': 'facebook'},https://github.com/facebook/react,{'totalCount': 16945}
awesome-selfhosted,{'login': 'awesome-selfhosted'},https://github.com/awesome-selfhosted/awesome-selfhosted,{'totalCount': 3036}
project-based-learning,{'login': 'practical-tutorials'},https://github.com/practical-tutorials/project-based-learning,{'totalCount': 355}
vue,{'login': 'vuejs'},https://github.com/vuejs/vue,{'totalCount': 2321}
Python,{'login': 'TheAlgorithms'},https://github.com/TheAlgorithms/Python,{'totalCount': 10196}
linux,{'login': 'torvalds'},https://github.com/torvalds/linux,{'totalCount': 636}
javascript-algorithms,{'login': 'trekhleb'},https://github.com/trekhleb/javascript-algorithms,{'totalCount': 545}
tensorflow,{'login': 'tensorflow'},https://github.com/tensorflow/tensorflow,{'totalCount': 41075}
You-Dont-Know-JS,{'login': 'getify'},https://github.com/getify/You-Dont-Know-JS,{'totalCount': 847}
CS-Notes,{'login': 'CyC2018'},https://github.com/CyC2018/CS-Notes,{'totalCount': 554}
